baseline_model,representation,subset,MAE,relative_MAE_improvement_vs_baseline_%
chgnet,mat2vec+S64,unique_prototype,0.0492231954183668,12.495675045115465
chgnet,mat2vec+H64,unique_prototype,0.0492399525242639,12.465885852697934
chgnet,mat2vec+S32,unique_prototype,0.0492986329234834,12.361569408425204
chgnet,mat2vec+L32,unique_prototype,0.0493383600084649,12.290946367312474
chgnet,mat2vec,unique_prototype,0.0493599446133824,12.252575305322882
chgnet,mat2vec+L64,unique_prototype,0.0493920838761043,12.195441174449744
chgnet,mat2vec+H32,unique_prototype,0.0493934006080368,12.193100413393482
chgnet,MDS_E_64_cos_zscore,unique_prototype,0.0507720409144782,9.742284525773632
chgnet,MDS_64_cos_zscore,unique_prototype,0.050815895464854,9.664324068427891
chgnet,MDS_F_64_cos_zscore,unique_prototype,0.0510501994711354,9.247800644265379
chgnet,MDS_F_32_cos_zscore,unique_prototype,0.0515139424343064,8.423402418998698
chgnet,MDS_32_cos_zscore,unique_prototype,0.0515943110228212,8.280530770260915
chgnet,MDS_E_32_cos_zscore,unique_prototype,0.0517652726238864,7.976611462152877
chgnet,chgnet-baseline,unique_prototype,0.0562523000363071,0.0
m3gnet,mat2vec+H32,unique_prototype,0.0584478429513645,13.112029119444763
m3gnet,mat2vec+H64,unique_prototype,0.058449311400728,13.109846137505773
m3gnet,mat2vec+S64,unique_prototype,0.0584682487778902,13.081694024573363
m3gnet,mat2vec+S32,unique_prototype,0.058508347636983,13.022083467104226
m3gnet,mat2vec+L64,unique_prototype,0.0585477041598012,12.96357645921631
m3gnet,mat2vec+L32,unique_prototype,0.0585792534140781,12.916675657604248
m3gnet,mat2vec,unique_prototype,0.0585964880991929,12.891054749410321
m3gnet,MDS_E_64_cos_zscore,unique_prototype,0.059924401057709,10.916992805542378
m3gnet,MDS_64_cos_zscore,unique_prototype,0.060073279941494,10.695670966004093
m3gnet,MDS_F_64_cos_zscore,unique_prototype,0.0603152073989493,10.33602406002547
m3gnet,MDS_32_cos_zscore,unique_prototype,0.060820017806097,9.58557802572188
m3gnet,MDS_F_32_cos_zscore,unique_prototype,0.0609209026418516,9.435603651498532
m3gnet,MDS_E_32_cos_zscore,unique_prototype,0.0612399845739451,8.961259685591678
m3gnet,m3gnet-baseline,unique_prototype,0.0672680491430887,0.0
mace-mpa-0,mat2vec+S64,unique_prototype,0.0200524987662377,0.06443367254683208
mace-mpa-0,mat2vec+H64,unique_prototype,0.0200530253305316,0.0618094359600501
mace-mpa-0,mat2vec+L64,unique_prototype,0.0200536954360987,0.05846983324381077
mace-mpa-0,mat2vec+L32,unique_prototype,0.020054051457884,0.05669552874670537
mace-mpa-0,mat2vec+S32,unique_prototype,0.0200545516524862,0.054202710698069
mace-mpa-0,mat2vec+H32,unique_prototype,0.0200547380536361,0.05327374395449376
mace-mpa-0,mat2vec,unique_prototype,0.0200562076866148,0.04594953933881069
mace-mpa-0,MDS_F_64_cos_zscore,unique_prototype,0.0200630961854301,0.011619352448974234
mace-mpa-0,MDS_64_cos_zscore,unique_prototype,0.0200641607354337,0.00631395840637225
mace-mpa-0,mace-mpa-0-baseline,unique_prototype,0.0200654276581901,0.0
mace-mpa-0,MDS_F_32_cos_zscore,unique_prototype,0.0200654964382825,-0.00034277910030602806
mace-mpa-0,MDS_E_64_cos_zscore,unique_prototype,0.0200655253410058,-0.00048682149897228387
mace-mpa-0,MDS_32_cos_zscore,unique_prototype,0.0200670392900989,-0.008031884175385756
mace-mpa-0,MDS_E_32_cos_zscore,unique_prototype,0.0200673739081565,-0.009699518991346004
mattersim-v1-5m,mat2vec+S64,unique_prototype,0.0163418285195742,0.5372419840645685
mattersim-v1-5m,MDS_F_64_cos_zscore,unique_prototype,0.0163428044997077,0.5313017873643867
mattersim-v1-5m,mat2vec+H64,unique_prototype,0.016345754527921,0.5133467621988753
mattersim-v1-5m,mat2vec+S32,unique_prototype,0.0163480265502965,0.4995183456620937
mattersim-v1-5m,mat2vec+H32,unique_prototype,0.0163491241847047,0.4928377134793606
mattersim-v1-5m,mat2vec+L32,unique_prototype,0.016351582596748,0.4778748565460878
mattersim-v1-5m,mat2vec+L64,unique_prototype,0.0163533369735812,0.46719703317887434
mattersim-v1-5m,mat2vec,unique_prototype,0.0163571063672128,0.44425502970615466
mattersim-v1-5m,MDS_64_cos_zscore,unique_prototype,0.0163617848011728,0.4157802513605498
mattersim-v1-5m,MDS_32_cos_zscore,unique_prototype,0.0163666207388146,0.38634684402362696
mattersim-v1-5m,MDS_E_64_cos_zscore,unique_prototype,0.0163695821602057,0.3683224755232956
mattersim-v1-5m,MDS_F_32_cos_zscore,unique_prototype,0.016371514291103,0.35656277142023074
mattersim-v1-5m,MDS_E_32_cos_zscore,unique_prototype,0.0163935659178414,0.22234794891661663
mattersim-v1-5m,mattersim-v1-5m-baseline,unique_prototype,0.0164300979035349,0.0
orb-v3,orb-v3-baseline,unique_prototype,0.0115412346668737,0.0
orb-v3,MDS_E_32_cos_zscore,unique_prototype,0.0115440686717648,-0.024555474114343834
orb-v3,MDS_32_cos_zscore,unique_prototype,0.0115449297664477,-0.03201650153259347
orb-v3,MDS_F_32_cos_zscore,unique_prototype,0.0115454533950822,-0.036553525946487794
orb-v3,MDS_F_64_cos_zscore,unique_prototype,0.0115456681010798,-0.038413864149429815
orb-v3,MDS_64_cos_zscore,unique_prototype,0.0115457089071627,-0.038767431892203205
orb-v3,mat2vec+S64,unique_prototype,0.0115457992792359,-0.03955046833336461
orb-v3,mat2vec+H64,unique_prototype,0.0115459060513774,-0.04047560454783069
orb-v3,mat2vec+L64,unique_prototype,0.0115460739266631,-0.04193017410252692
orb-v3,mat2vec+L32,unique_prototype,0.0115464279962132,-0.04499803954603626
orb-v3,mat2vec,unique_prototype,0.0115464699608379,-0.0453616455718368
orb-v3,mat2vec+H32,unique_prototype,0.0115465055022491,-0.045669597123168926
orb-v3,mat2vec+S32,unique_prototype,0.0115465671820443,-0.04620402690456127
orb-v3,MDS_E_64_cos_zscore,unique_prototype,0.0115470275452431,-0.05019288262136997
sevennet-l3i5,mat2vec+S64,unique_prototype,0.0355722817919402,4.604962865545456
sevennet-l3i5,mat2vec+H32,unique_prototype,0.035598047287951,4.535866919912452
sevennet-l3i5,mat2vec+L32,unique_prototype,0.0356154590614601,4.489173351302124
sevennet-l3i5,mat2vec+S32,unique_prototype,0.0356209380535723,4.474480207380146
sevennet-l3i5,mat2vec+L64,unique_prototype,0.0356282625406501,4.4548379555599
sevennet-l3i5,mat2vec+H64,unique_prototype,0.0356404376365498,4.4221877102857645
sevennet-l3i5,mat2vec,unique_prototype,0.0356849178797016,4.302903980553909
sevennet-l3i5,MDS_E_64_cos_zscore,unique_prototype,0.0364188118876407,2.3348029025970094
sevennet-l3i5,MDS_64_cos_zscore,unique_prototype,0.0365139169763961,2.0797573160765244
sevennet-l3i5,MDS_F_64_cos_zscore,unique_prototype,0.0366457970627534,1.7260913407271465
sevennet-l3i5,MDS_F_32_cos_zscore,unique_prototype,0.0368708626701972,1.122527529291961
sevennet-l3i5,MDS_32_cos_zscore,unique_prototype,0.0368766732111448,1.1069452629445358
sevennet-l3i5,MDS_E_32_cos_zscore,unique_prototype,0.0369940600860293,0.7921460787313594
sevennet-l3i5,sevennet-l3i5-baseline,unique_prototype,0.0372894469780465,0.0
